,Unnamed: 0,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,full_date,hour
49,49,24,Male,Few times a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Yes,Always,Changed my mind or no longer need the item,Often,True,Heavily,Yes,1,Yes,1,2,User-friendly website/app interface,Product quality and accuracy,2023-06-05,14
50,50,23,Female,Once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,1,Yes,Rarely,Changed my mind or no longer need the item,Never,True,Heavily,Yes,5,No,4,3,Competitive prices,Customer service responsiveness,2023-06-05,15
51,51,25,Male,Less than once a month,others,Sometimes,Few times a week,Keyword,First page,4,Yes,Often,Changed my mind or no longer need the item,Often,True,Heavily,Yes,3,Sometimes,3,3,Wide product selection,Product quality and accuracy,2023-06-05,16
52,52,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Rarely,True,Heavily,Yes,1,Yes,2,2,User-friendly website/app interface,Shipping speed and reliability,2023-06-05,16
53,53,21,Female,Few times a month,Home and Kitchen,No,Few times a month,Keyword,First page,1,Yes,Rarely,Changed my mind or no longer need the item,Often,True,Heavily,Yes,1,Sometimes,3,1,User-friendly website/app interface,Reducing packaging waste,2023-06-05,16
54,54,23,Female,Less than once a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Maybe,Rarely,Changed my mind or no longer need the item,Never,True,Moderately,Yes,3,Sometimes,3,3,Wide product selection,Reducing packaging waste,2023-06-05,16
55,55,26,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,No,Rarely,Filter,Multiple pages,1,Maybe,Sometimes,High shipping costs,Sometimes,True,Heavily,Yes,4,Yes,2,2,Product recommendations,Shipping speed and reliability,2023-06-05,17
56,56,23,Female,Few times a month,Clothing and Fashion;others,Yes,Few times a week,Keyword,First page,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Yes,1,Sometimes,3,2,Wide product selection,Product quality and accuracy,2023-06-05,18
57,57,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,4,Yes,Sometimes,High shipping costs,Sometimes,True,Heavily,Yes,3,No,3,3,Product recommendations,Reducing packaging waste,2023-06-05,18
58,58,40,Male,Few times a month,Beauty and Personal Care;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Never,True,Heavily,Yes,4,Sometimes,2,1,Competitive prices,Reducing packaging waste,2023-06-05,18
59,59,25,Female,Once a month,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,Often,True,Moderately,Sometimes,3,Sometimes,3,3,Wide product selection,Customer service responsiveness,2023-06-05,19
60,60,24,Male,Once a month,others,Sometimes,Few times a week,Keyword,Multiple pages,4,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Moderately,Sometimes,4,Sometimes,1,2,Wide product selection,Shipping speed and reliability,2023-06-05,19
61,61,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,First page,4,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Rarely,Sometimes,3,Sometimes,3,3,User-friendly website/app interface,Product quality and accuracy,2023-06-05,19
62,62,24,Male,Less than once a month,others,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Never,True,Heavily,Yes,2,Yes,3,2,User-friendly website/app interface,Shipping speed and reliability,2023-06-05,19
63,63,24,Male,Less than once a month,others,No,Few times a week,categories,Multiple pages,1,Maybe,Never,Changed my mind or no longer need the item,Rarely,True,Heavily,Yes,3,Sometimes,3,3,Wide product selection,Product quality and accuracy,2023-06-05,19
64,64,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,categories,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,Yes,3,3,Product recommendations,Customer service responsiveness,2023-06-05,19
65,65,26,Male,Few times a month,others,No,Few times a week,Keyword,Multiple pages,4,Yes,Often,Changed my mind or no longer need the item,Rarely,True,Occasionally,Yes,3,Yes,3,4,Competitive prices,Product quality and accuracy,2023-06-05,19
66,66,23,Female,Few times a month,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Few times a month,categories,First page,1,Yes,Sometimes,Found a better price elsewhere,Often,True,Heavily,Yes,2,Sometimes,3,3,Wide product selection,Product quality and accuracy,2023-06-05,19
67,67,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,categories,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Never,True,Heavily,Yes,3,Sometimes,3,1,Wide product selection,Product quality and accuracy,2023-06-05,19
68,68,24,Female,Once a month,others,Sometimes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Yes,3,Yes,3,2,User-friendly website/app interface,Product quality and accuracy,2023-06-05,19
69,69,23,Male,Less than once a month,others,No,Few times a month,Keyword,First page,1,Maybe,Rarely,High shipping costs,Never,True,Moderately,Sometimes,3,Sometimes,3,3,Wide product selection,better app interface and lower shipping charges,2023-06-05,19
70,70,24,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,True,Moderately,Yes,1,Yes,2,2,Competitive prices,Product quality and accuracy,2023-06-05,19
71,71,36,Female,Once a month,Home and Kitchen;others,Sometimes,Multiple times a day,Keyword,Multiple pages,5,Yes,Often,Changed my mind or no longer need the item,Never,True,Heavily,No,2,Sometimes,3,1,User-friendly website/app interface,Shipping speed and reliability,2023-06-05,19
72,72,26,Male,Less than once a month,Home and Kitchen,No,Rarely,Filter,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Yes,1,Yes,2,1,Wide product selection,Product quality and accuracy,2023-06-05,19
73,73,31,Male,Once a month,Home and Kitchen;others,No,Few times a month,Keyword,First page,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,True,Heavily,Yes,4,Sometimes,3,1,Customer service,Reducing packaging waste,2023-06-05,20
74,74,23,Male,Less than once a month,others,No,Rarely,categories,Multiple pages,1,Maybe,Often,Found a better price elsewhere,Never,True,Heavily,Yes,2,No,3,2,User-friendly website/app interface,Reducing packaging waste,2023-06-05,20
75,75,23,Female,Less than once a month,Home and Kitchen,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,True,Heavily,Yes,3,Yes,2,2,Wide product selection,Product quality and accuracy,2023-06-05,22
76,76,30,Male,Once a week,Groceries and Gourmet Food;Home and Kitchen,Yes,Few times a week,Filter,Multiple pages,4,Yes,Often,Found a better price elsewhere,Always,True,Moderately,Yes,4,Yes,4,4,Product recommendations,Customer service responsiveness,2023-06-05,22
77,77,24,Female,Less than once a month,others,No,Rarely,categories,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Often,True,Moderately,Yes,2,Sometimes,2,2,Wide product selection,Product quality and accuracy,2023-06-05,22
78,78,47,Prefer not to say,Less than once a month,others,Sometimes,Rarely,others,First page,2,Maybe,Never,Changed my mind or no longer need the item,Never,True,Never,Sometimes,2,No,2,2,User-friendly website/app interface,Shipping speed and reliability,2023-06-05,22
79,79,54,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,categories,Multiple pages,4,Yes,Always,others,Always,True,Heavily,Yes,5,Yes,5,5,Competitive prices,Shipping speed and reliability,2023-06-05,22
80,80,58,Male,Once a month,Clothing and Fashion;others,No,Few times a week,Keyword,Multiple pages,5,Yes,Sometimes,Changed my mind or no longer need the item,Never,True,Never,No,4,No,3,3,Competitive prices,Reducing packaging waste,2023-06-06,0
81,81,53,Female,Less than once a month,Home and Kitchen,No,Few times a week,Keyword,Multiple pages,3,No,Rarely,Changed my mind or no longer need the item,Never,True,Moderately,Yes,2,Yes,2,1,Competitive prices,Reducing packaging waste,2023-06-06,0
82,82,23,Prefer not to say,Once a week,Beauty and Personal Care,No,Multiple times a day,categories,Multiple pages,5,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-06,1
83,83,25,Others,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a week,Filter,Multiple pages,5,Maybe,Never,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,4,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-06,1
84,84,23,Female,Less than once a month,Beauty and Personal Care,No,Rarely,categories,Multiple pages,1,Maybe,Rarely,Found a better price elsewhere,Rarely,True,Occasionally,Yes,2,Sometimes,3,2,User-friendly website/app interface,Shipping speed and reliability,2023-06-06,2
85,85,32,Male,Less than once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,categories,First page,4,Maybe,Rarely,Changed my mind or no longer need the item,Rarely,True,Moderately,Sometimes,4,Sometimes,4,4,User-friendly website/app interface,Customer service responsiveness,2023-06-06,2
86,86,30,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Filter,Multiple pages,5,Yes,Often,others,Always,True,Heavily,Yes,5,Sometimes,5,3,Competitive prices,Product quality and accuracy,2023-06-06,2
87,87,28,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,Keyword,Multiple pages,3,No,Never,High shipping costs,Never,True,Occasionally,No,4,No,4,3,Competitive prices,Shipping speed and reliability,2023-06-06,2
88,88,20,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,No,Multiple times a day,categories,First page,1,No,Often,Found a better price elsewhere,Often,True,Occasionally,Sometimes,3,No,3,3,Competitive prices,Reducing packaging waste,2023-06-06,2
89,89,25,Male,Few times a month,others,No,Rarely,others,Multiple pages,1,Maybe,Sometimes,Changed my mind or no longer need the item,Never,True,Moderately,Sometimes,2,Sometimes,2,3,Wide product selection,Product quality and accuracy,2023-06-06,2
90,90,55,Others,Few times a month,Groceries and Gourmet Food,Yes,Multiple times a day,Keyword,Multiple pages,3,Yes,Sometimes,High shipping costs,Often,True,Rarely,Yes,4,Yes,3,3,Product recommendations,Customer service responsiveness,2023-06-06,3
91,91,24,Female,Once a month,Beauty and Personal Care;Home and Kitchen;others,No,Few times a week,Keyword,Multiple pages,2,Yes,Rarely,High shipping costs,Always,True,Moderately,Yes,4,Sometimes,3,4,Wide product selection,Product quality and accuracy,2023-06-06,3
92,92,62,Female,Less than once a month,Beauty and Personal Care,Sometimes,Rarely,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Often,True,Never,Sometimes,5,Yes,4,3,User-friendly website/app interface,Shipping speed and reliability,2023-06-06,3
93,93,27,Male,Less than once a month,others,No,Rarely,others,First page,4,No,Never,others,Never,True,Never,No,5,No,5,5,Competitive prices,Customer service responsiveness,2023-06-06,3
94,94,34,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,categories,First page,3,Maybe,Sometimes,Found a better price elsewhere,Rarely,True,Occasionally,No,4,Yes,2,2,Wide product selection,Product quality and accuracy,2023-06-06,3
95,95,40,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,categories,Multiple pages,2,Maybe,Often,Found a better price elsewhere,Often,True,Occasionally,Sometimes,2,No,2,2,Competitive prices,Shipping speed and reliability,2023-06-06,3
96,96,22,Others,Less than once a month,others,Yes,Few times a month,categories,Multiple pages,4,Maybe,Often,Found a better price elsewhere,Rarely,True,Rarely,No,3,No,3,4,User-friendly website/app interface,Reducing packaging waste,2023-06-06,3
97,97,34,Prefer not to say,Few times a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,categories,First page,3,Yes,Often,Found a better price elsewhere,Often,True,Heavily,Yes,1,Sometimes,2,2,User-friendly website/app interface,Product quality and accuracy,2023-06-06,3
98,98,24,Female,Less than once a month,Beauty and Personal Care;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Never,True,Heavily,Yes,1,Sometimes,3,1,User-friendly website/app interface,Product quality and accuracy,2023-06-06,3
99,99,44,Male,Few times a month,Clothing and Fashion;others,No,Few times a month,categories,First page,5,No,Rarely,Changed my mind or no longer need the item,Sometimes,True,Never,Sometimes,2,Yes,3,2,Product recommendations,Customer service responsiveness,2023-06-06,3
100,100,31,Female,Once a month,Home and Kitchen;others,Sometimes,Rarely,others,Multiple pages,4,No,Never,Changed my mind or no longer need the item,Often,True,Never,Sometimes,5,No,4,2,User-friendly website/app interface,Reducing packaging waste,2023-06-06,3
101,101,23,Female,Once a week,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,5,No,Rarely,others,Sometimes,True,Occasionally,Sometimes,3,Yes,3,3,Product recommendations,Product quality and accuracy,2023-06-06,14
102,102,23,Female,Less than once a month,Beauty and Personal Care;others,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Rarely,True,Heavily,Yes,2,Yes,2,1,Wide product selection,Reducing packaging waste,2023-06-06,15
103,103,22,Female,Less than once a month,Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,5,Yes,Sometimes,Found a better price elsewhere,Never,True,Heavily,Yes,5,Sometimes,2,3,Competitive prices,Customer service responsiveness,2023-06-06,15
104,104,24,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Always,True,Heavily,Yes,1,Yes,1,1,Wide product selection,Customer service responsiveness,2023-06-06,15
105,105,23,Prefer not to say,Once a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Always,True,Heavily,Yes,1,Yes,1,1,Wide product selection,Customer service responsiveness,2023-06-06,15
106,106,25,Male,Less than once a month,others,Yes,Few times a month,Keyword,Multiple pages,5,Yes,Rarely,others,Never,True,Moderately,Yes,3,Sometimes,3,3,Wide product selection,Customer service responsiveness,2023-06-06,15
107,107,23,Male,Once a week,Clothing and Fashion,Sometimes,Few times a week,Filter,Multiple pages,1,No,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Moderately,No,1,No,2,2,Competitive prices,Customer service responsiveness,2023-06-06,15
108,108,24,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,1,Yes,Often,others,Sometimes,True,Moderately,Yes,2,Yes,2,2,Competitive prices,Product quality and accuracy,2023-06-06,15
109,109,24,Female,Few times a month,others,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Sometimes,True,Moderately,Yes,2,Yes,3,2,Wide product selection,Customer service responsiveness,2023-06-06,15
